qid,Stage 1a — pool intake (v7.5),Stage 3 — auto-YES zone alone,Stage 3 — auto-YES + borderline (max possible after Stage 4),Stage 5 — adaptive K,Stage 5 — adaptive × 1.3,Stage 5 — fixed K=5
val_001,0.929,0.31,0.429,0.024,0.024,0.0
val_002,0.789,0.474,0.579,0.026,0.079,0.026
val_003,0.766,0.213,0.255,0.021,0.021,0.0
val_004,1.0,0.7,0.9,0.0,0.0,0.0
val_005,1.0,0.636,0.818,0.182,0.182,0.182
val_006,0.944,0.556,0.722,0.056,0.111,0.056
val_007,0.895,0.579,0.684,0.0,0.0,0.0
val_008,0.833,0.467,0.567,0.033,0.033,0.033
val_009,0.929,0.714,0.714,0.071,0.071,0.071
val_010,0.88,0.44,0.6,0.0,0.0,0.0
